0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:37 +0100] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:38 +0100] "GET /login HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:40 +0100] "GET /css/base.min.css HTTP/1.1" 200 641442
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:40 +0100] "GET /js/scripts-init/charts/apex-series.js HTTP/1.1" 200 9410
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/scripts-init/app.js HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/scripts-init/demo.js HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/scripts-init/charts/apex-charts.js HTTP/1.1" 200 54869
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/scripts-init/form-components/clipboard.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/scripts-init/charts/charts-sparklines.js HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/scripts-init/charts/chartsjs-utils.js HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:41 +0100] "GET /js/vendors/form-components/daterangepicker.js HTTP/1.1" 200 63827
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/charts/apex-charts.js HTTP/1.1" 200 1207016
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/form-components/clipboard.js HTTP/1.1" 200 38645
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/form-components/datepicker.js HTTP/1.1" 200 55868
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/scripts-init/form-components/input-select.js HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/form-components/bootstrap-multiselect.js HTTP/1.1" 200 53457
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/charts/charts-sparklines.js HTTP/1.1" 200 43250
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/scripts-init/form-components/datepicker.js HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/scripts-init/form-components/form-validation.js HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/form-components/form-validation.js HTTP/1.1" 200 69674
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/form-components/form-wizard.js HTTP/1.1" 200 27630
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/vendors/form-components/moment.js HTTP/1.1" 200 51638
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:42 +0100] "GET /js/scripts-init/form-components/form-wizard.js HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/vendors/form-components/range-slider.js HTTP/1.1" 200 84561
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/vendors/form-components/wnumb.js HTTP/1.1" 200 10582
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/vendors/form-components/textarea-autosize.js HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/scripts-init/form-components/input-mask.js HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/scripts-init/form-components/textarea-autosize.js HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/scripts-init/form-components/range-slider.js HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/vendors/form-components/input-mask.js HTTP/1.1" 200 222457
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/vendors/form-components/toggle-switch.js HTTP/1.1" 200 6440
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/scripts-init/calendar.js HTTP/1.1" 200 6335
0:0:0:0:0:0:0:1 - - [11/Nov/2020:18:24:43 +0100] "GET /js/scripts-init/blockui.js HTTP/1.1" 200 3081
