0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:03 +0100] "GET / HTTP/1.1" 200 12485
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:05 +0100] "GET /css/base.min.css HTTP/1.1" 200 641442
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:06 +0100] "GET /js/scripts-init/charts/apex-series.js HTTP/1.1" 200 9410
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:06 +0100] "GET /js/scripts-init/demo.js HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:07 +0100] "GET /js/scripts-init/charts/apex-charts.js HTTP/1.1" 200 54869
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:07 +0100] "GET /js/scripts-init/charts/charts-sparklines.js HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:07 +0100] "GET /js/scripts-init/app.js HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:07 +0100] "GET /js/scripts-init/charts/chartsjs-utils.js HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:07 +0100] "GET /js/scripts-init/form-components/clipboard.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:08 +0100] "GET /js/vendors/form-components/clipboard.js HTTP/1.1" 200 38645
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:08 +0100] "GET /js/vendors/charts/charts-sparklines.js HTTP/1.1" 200 43250
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:08 +0100] "GET /js/vendors/form-components/datepicker.js HTTP/1.1" 200 55868
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:08 +0100] "GET /js/vendors/charts/apex-charts.js HTTP/1.1" 200 1207016
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/vendors/form-components/daterangepicker.js HTTP/1.1" 200 63827
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/scripts-init/form-components/input-select.js HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/vendors/form-components/form-validation.js HTTP/1.1" 200 69674
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/scripts-init/form-components/form-validation.js HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/scripts-init/form-components/datepicker.js HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/vendors/form-components/moment.js HTTP/1.1" 200 51638
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/vendors/form-components/bootstrap-multiselect.js HTTP/1.1" 200 53457
0:0:0:0:0:0:0:1 - - [02/Jan/2021:19:02:09 +0100] "GET /js/scripts-init/form-components/form-wizard.js HTTP/1.1" 200 2342
